id,subname,subid,subsubname,subsubid,desc,position
,ICT,,Finding Things Out,,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i) 
,ICT,,Finding Things Out,,"Pupil shows a response to an image, sound, light source or tactile source by change in body position, facial expressions. For example pupil accesses resonance/ vibration board and responds to stop/start of stimuli by observable response.",a
,ICT,,Finding Things Out,,"Pupil shows resistance or negative response to sensory stimuli, light or sound vibration for example, pupil withdraws hand from resource. Pupil closes eyes in response to sound source or grimaces.",b
,ICT,,Finding Things Out,,"Pupil shows response by simple reflex action to light, tactile or sound source, for example, eyes widen, withdraws hands.",c
,ICT,,Finding Things Out,,"Pupil remains passive or shows no observable response to light or sound sources Pupil shows tolerance to repeated stimuli (light, sound, images, and tactile stimuli with full physical prompting). For example, pupil stills when sound sample is played, tactile stimuli offered, e.g. battery-operated toy.",d
,ICT,,Finding Things Out,,"Pupil shows a reflex response. For example, pupil blinks at a bright light, is startled by a sudden noise or touch.",e
,ICT,,Finding Things Out,,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects, or part of objects, for example, attending briefly to lights, sounds or patterns of movement. They may give intermittent reactions. For example, sometimes becoming quiet in response to the vibration of a bubble tube.",P1 (ii)
,ICT,,Finding Things Out,,"Pupil gives a more controlled reaction to a familiar activity, sound, image or tactile stimuli, For example, pupil may smile and turn towards stimuli present. Shows recognition and signs of pleasure when specific visual, auditory or tactile stimuli *1 are presented on VOCA *2 or screen *3.",a
,ICT,,Finding Things Out,,"Pupil reacts spontaneously to a familiar sound image or tactile stimuli. For example, pupil: smiles, vocalises, changes body posture.",b
,ICT,,Finding Things Out,,"Pupil observes stimulus, activity, or image for brief periods. For example, pupil makes searching movements when familiar auditory, tactile or visual stimuli are activated within approx 45cm range.",c
,ICT,,Finding Things Out,,"Pupil stills in response to a sound source, image or tactile stimuli. For example, pupil stills when familiar voice or sound is heard, when played on a VOCA.",d
,ICT,,Finding Things Out,,Pupil shows an increased tolerance to a repeated sensory stimulus. Pupil maintains contact in response to sound/image/touch.,e
,ICT,,Finding Things Out,,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, enjoying the movement of air as a nearby electric fan is switched on. They begin to show interest in people, events and objects, for example, tracking moving images briefly across a television or monitor screen. They accept and engage in coactive exploration, for example, being encouraged to handle fibre-optic strands.",P2 (i) 
,ICT,,Finding Things Out,,"Pupil engages in shared exploration of an object, image, or tactile stimulus. For example, pupil co-actively explores fibre optics, interactive whiteboard, or computer software.",a
,ICT,,Finding Things Out,,"Pupil tolerates active exploration, For example, pupil uses switches with adult support to activate a variety of sensory stimuli.",b
,ICT,,Finding Things Out,,"Pupil shows awareness of an immediate change of activity. For example, pupil whilst engaged in one activity pupil demonstrated awareness when new/different one is presented.",c
,ICT,,Finding Things Out,,"Pupil interacts with objects or switches by reaching or clawing and raking them. Pupil begins to show signs of anticipating action when he/she has become familiar with the activity. For example, pupil becomes animated when stimuli is repeatedly activated, tape recorder, lighting source, food processor, fan, etc.",d
,ICT,,Finding Things Out,,"Pupil begins to demonstrate consistent responses to stimuli. Pupil locates and follows a familiar object/image/sound For example, pupil demonstrates sensory attention to familiar stimuli by locating fan, bubble tube, fibre optics for brief period.",e
