id,subname,subid,subname,subsubid,desc,position
,Maths,,"Shape, Space and Measures",,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i) 
,Maths,,"Shape, Space and Measures",,Pupil accepts adult physical prompting during an activity. ,a
,Maths,,"Shape, Space and Measures",,Pupil stills in response to tactile shape or weighted object. ,b
,Maths,,"Shape, Space and Measures",,"Pupil shows resistance or negative response to sensory stimuli, e.g. withdraws hand or grimaces to show displeasure.",c
,Maths,,"Shape, Space and Measures",,Pupil remains passive or shows no observable response,d
,Maths,,"Shape, Space and Measures",,Pupil shows a reflex response to sensory stimuli. ,e
,Maths,,"Shape, Space and Measures",,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, grasping objects briefly when they are placed in their hand. They may give intermittent reactions, for example, sometimes showing surprise at the sudden presence or absence of an event or object.",P1 (ii)
,Maths,,"Shape, Space and Measures",,"Pupil responds to a familiar activity by an occasional response, e.g. vocalisation. ",a
,Maths,,"Shape, Space and Measures",,"Pupil can locate an object presented in different positions, visual or auditory.",b
,Maths,,"Shape, Space and Measures",,Pupil will maintain contact with a mathematical resource for a short period of time.,c
,Maths,,"Shape, Space and Measures",,Pupil may briefly turn head or smile at a familiar sound or situation. ,d
,Maths,,"Shape, Space and Measures",,"Pupil demonstrates awareness by any observable response, e.g. facial expression or body movement.",e
,Maths,,"Shape, Space and Measures",,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, becoming excited or alarmed when a routine is broken. They begin to show interest in people, events and objects, for example, tracking objects briefly across their field of awareness. They accept and engage in coactive exploration, for example, lifting objects briefly towards the face in shared investigations.",P2 (i)
,Maths,,"Shape, Space and Measures",,Pupil can track an object horizontally when held at eye level or pupil shows a distinct recognition of a sound-making object and tracks its sound from side to side.,a
,Maths,,"Shape, Space and Measures",,"When accidentally interacting with an object, the pupil will repeat the action to gain the effect, e.g. when moving hands in a space blanket the pupil gains a reward, he /she then repeats the movement to reproduce the effect.  ",b
,Maths,,"Shape, Space and Measures",,"Pupil begins to interact consistently to familiar resources, e.g. wiggly giggly ball, groan tube, etc.  ",c
,Maths,,"Shape, Space and Measures",,Pupil can reach out to explore an object using random movements.,d
,Maths,,"Shape, Space and Measures",,"Pupil can maintain hold of an object, and lets go unintentionally. Pupil can grasp using a palmer grip.",e
,Maths,,"Shape, Space and Measures",," Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, showing a desire to hold a favourite object. They recognise familiar people, events and objects, for example, looking towards their own lunch box when offered a selection. They perform actions, often by trial and improvement, and they remember learned responses over short periods of time, for example, repeating an action with a familiar item of equipment. They cooperate with shared exploration and supported participation, for example, handling and feeling the texture of objects passed to them. ",P2 (ii)
,Maths,,"Shape, Space and Measures",,Pupil accepts adult physical prompting during an activity.,a
,Maths,,"Shape, Space and Measures",,"Pupil can, using trial and error, operate a simple switch activated toy, e.g. pop up toy or jack in a box.",b
,Maths,,"Shape, Space and Measures",,Pupil can show consistent preference for favoured items,c
,Maths,,"Shape, Space and Measures",,Pupil can reach for or look at objects,d
,Maths,,"Shape, Space and Measures",,"Pupil can explore objects by touch, banging them, moving them, dropping them, etc",e
,Maths,,"Shape, Space and Measures",,"Pupils begin to communicate intentionally. They seek attention through eye contact, gesture or action. They request events or activities, for example, pushing an item of equipment towards a member of staff. They participate in shared activities with less support. They sustain concentration for short periods. They explore materials in increasingly complex ways, for example, banging or rubbing objects together. They observe the results of their own actions with interest, for example, as they throw or drop objects on to different surfaces. They remember learned responses over more extended periods, for example, remembering how to activate a pop-up object from a previous lesson.",P3 (i)
,Maths,,"Shape, Space and Measures",,"Pupil can, using trial and error, with a selection of different sized balls find those which will fit into a beaker or other similar sized container.",a
,Maths,,"Shape, Space and Measures",,Pupil attends to objects as they drop or throw them.,b
,Maths,,"Shape, Space and Measures",,"Pupil can track slowly moving objects visually and/or aurally, e.g. a ball rolled slowly in front of them by an adult.",c
,Maths,,"Shape, Space and Measures",,"Pupil can put an object into a container. Pupil can retrieve an object which has been seen or heard to be placed in an open container, e.g. when a ball is placed in a container large enough for the child to reach into.",d
,Maths,,"Shape, Space and Measures",,"Pupil manipulates objects to explore their properties, e.g. turns a cube over in their hands, feels the texture.",e
,Maths,,"Shape, Space and Measures",,"Pupils use emerging conventional communication. They greet known people and may initiate interactions and activities, for example, dropping objects to prompt interventions from adults. They can remember learned responses over increasing periods of time and may anticipate known events, for example, collecting coats and bags at the end of the school day. They may respond to options and choices with actions or gestures, for example, pointing to or giving one object rather than another. They actively explore objects and events for more extended periods, for example, manipulating objects in piles, groups or stacks. They apply potential solutions systematically to problems, for example, using items of equipment purposefully and appropriately.",P3 (ii)
,Maths,,"Shape, Space and Measures",,Pupil can intentionally attract the attention of an adult to assist them in retrieving an object that has been placed just out of their reach.,a
,Maths,,"Shape, Space and Measures",,"Pupil can use problem solving skills to retrieve an object, e.g. a sweet in a beaker into which their hand will not fit. The child tips beaker to get the sweet out.",b
