id,subname,subid,subsubname,subsubid,desc,position
,PSD,,Interacting and Working with Others,,"Pupils are beginning to show sensory awareness in relation to a range of people, objects and materials in everyday contexts. They show reflex responses to sensory stimuli, for example, startle response.",PSD1
,PSD,,Interacting and Working with Others,,"Pupil interacts with people, turning to a voice.Pupil looks/smiles at familiar adult. Pupil follows object with eyes/touch/gesture.",a
,PSD,,Interacting and Working with Others,,"Pupil makes sounds, gestures to communicate basic needs, e.g. quietens / stops crying at the sound of a familiar sound or voice or cessation of continuous sound .",b
,PSD,,Interacting and Working with Others,,Pupil pays attention to surroundings. Pupil accepts and is comforted by appropriate physical contact.,c
,PSD,,Interacting and Working with Others,,"Pupil stills in response to a sound, voice, surroundings, e.g. startled by sudden noise. ",d
,PSD,,Interacting and Working with Others,,Pupil shows intolerance to a range of sensory stimuli.,e
,PSD,,Interacting and Working with Others,,"Pupils perform some actions using trial and error and show reactive responses to familiar people and objects, such as reaching and holding objects, smiling and turning to familiar voices. They make sounds or gestures to express simple needs, wants or feelings in response to their immediate environment, for example, protesting or requesting, using facial expression to enhance meaning.",PSD2
,PSD,,Interacting and Working with Others,,Pupil makes sounds or gestures to express simple wants or feelings.,a
,PSD,,Interacting and Working with Others,,Pupil makes sounds or gestures to express simple needs.,b
,PSD,,Interacting and Working with Others,,Pupil shows reactive responses to familiar objects including reaching and holding.,c
,PSD,,Interacting and Working with Others,,"Pupil shows reactive responses to familiar people, e.g. smiling. ",d
,PSD,,Interacting and Working with Others,,Pupil performs some actions using trial and improvement.,e
,PSD,,Interacting and Working with Others,," Pupils show anticipation in response to familiar people, routines, activities and actions and respond appropriately to them. They explore or manipulate objects, toys or other equipment. They are able to communicate simple choices, likes and dislikes. They can communicate, using different tones and sounds and use some vocalisations and/or gestures to communicate. ",PSD3
,PSD,,Interacting and Working with Others,,"Pupil explores or manipulates objects, toys or equipment .",a
,PSD,,Interacting and Working with Others,,Pupil shows anticipation in response to familiar people and responds appropriately.,b
,PSD,,Interacting and Working with Others,,"Pupil shows anticipation in response to familiar routines or activities, e.g.Pupil recognises that being taken into the dining room indicates meal-time.",c
,PSD,,Interacting and Working with Others,,"Pupil communicates simple choices, likes or dislikes. ",d
,PSD,,Interacting and Working with Others,,Pupil communicates using different sounds and/or gestures. ,e
,PSD,,Interacting and Working with Others,,Pupils engage in solitary play or work. They are involved in their own task. They are aware of the presence of others but show little interest in the activities of those around them. They make no effort to get close to other pupils or to become involved in their tasks.,PSD4
,PSD,,Interacting and Working with Others,,Pupil shows a degree of interest in other children's play/activities.,a
,PSD,,Interacting and Working with Others,,"Pupil is happy to be engaged in own task, activity, play.",b
,PSD,,Interacting and Working with Others,,"Pupil operates, plays, works within own space.",c
,PSD,,Interacting and Working with Others,,Pupil selects toys and play appropriate to function.,d
,PSD,,Interacting and Working with Others,,Pupil explores the environment in a solitary way.,e
,PSD,,Interacting and Working with Others,,"Pupils work/play/engage in activities alongside others, in parallel. They watch others playing or engaging in activities. They communicate their basic needs, wants, likes, or dislikes with other people. ",PSD5
,PSD,,Interacting and Working with Others,,"Pupil expresses basic needs, wants, likes and dislikes to other people.",a
,PSD,,Interacting and Working with Others,,"Pupil begins to initiate and express basic needs, wants, likes and dislikes to others spontaneously.",b
,PSD,,Interacting and Working with Others,,"Pupil works, plays, engages in activity alongside others in parallel.",c
,PSD,,Interacting and Working with Others,,Pupil plays alongside another child on same equipment.,d
,PSD,,Interacting and Working with Others,,Pupil observes others engaged in a range of activities.,e
,PSD,,Interacting and Working with Others,,"Pupils take part in work/play with at least one other person. They take turns in simple activities, usually with adult support. They share, offering and accepting contributions. They are able to be part of a small group during play/work, but may not always participate. They initiate interactions, and respond to others' initiations.",PSD6
,PSD,,Interacting and Working with Others,,Pupil is able to be part of a small group during work/play but may not always participate.,a
,PSD,,Interacting and Working with Others,,Pupil begins to share object with another person.,b
,PSD,,Interacting and Working with Others,,Pupil gives temporarily favoured object to another person.,c
,PSD,,Interacting and Working with Others,,Pupil Interacts with peers on work/play activities with adult direction.,d
,PSD,,Interacting and Working with Others,,Pupil shows awareness of and is beginning to develop confidence and trust in adults and peers.,e
,PSD,,Interacting and Working with Others,,"Pupils take part in work/play involving two to three others in a co-operative manner. They maintain turn-taking and interactions and can make simple negotiations with others, with some help. They take part in make-believe and imaginative play, or co-operate with others on a specific task. They make initiations to join activities and respond appropriately to others' actions and initiations.",PSD7
,PSD,,Interacting and Working with Others,,Pupil interacts with peers in imaginative play/role play.,a
,PSD,,Interacting and Working with Others,,Pupil is able to imitate the content of a group activity.,b
,PSD,,Interacting and Working with Others,,Pupil makes attempts to negotiate with others.,c
,PSD,,Interacting and Working with Others,,Pupil takes turns with others with minimum adult support. ,d
,PSD,,Interacting and Working with Others,,Pupil participates in small group work or play with minimum support.,e
,PSD,,Interacting and Working with Others,,"Pupils can establish effective relations with others in small groups, actively contributing to the development of work/play. They engage in a variety of activities with peers, which may include make-believe and role-play, showing some variation in the roles they take. They make attempts to negotiate with others in a variety of activities and settings. ",PSD8
,PSD,,Interacting and Working with Others,,Pupil attempts to negotiate with others in a variety of activities and settings.,a
,PSD,,Interacting and Working with Others,,Pupil takes a variety of roles with peers.,b
,PSD,,Interacting and Working with Others,,Pupil is actively involved in the development of a task or play activity.,c
,PSD,,Interacting and Working with Others,,Pupil begins to sustain relationships.,d
,PSD,,Interacting and Working with Others,,Pupil begins to establish relationship with small group. ,e
,PSD,,Interacting and Working with Others,,Pupils experience a range of familiar activities in small or large groups. They understand the aims of the task or rules of the game and demonstrate an awareness of how to take part in different situations. They contribute to the achievement of the group goals with some support.,PSD9
,PSD,,Interacting and Working with Others,,Pupil contributes to the achievement of the group with support.,a
,PSD,,Interacting and Working with Others,,Pupil begins to take turns/shares in activities.,b
,PSD,,Interacting and Working with Others,,Pupil begins to show an understanding of the aims/roles in games/activities.,c
,PSD,,Interacting and Working with Others,,Pupil is willing to take on a variety of roles in familiar activities in large groups with support.,d
,PSD,,Interacting and Working with Others,,Pupil is willing to take on a variety of roles in familiar activities in a small group with support.,e
,PSD,,Interacting and Working with Others,," Pupils participate in a range of familiar group tasks. They are aware of their own and others' roles within the group and can contribute appropriately. They attend to what others say or do and take part in an interchange of information, ideas or opinions.",PSD10
