id,subname,subid,subsubname,subsubid,desc,position
,English,,Speaking and Listening (Listening),,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i) 
,English,,Speaking and Listening (Listening),,"Pupil begins to demonstrate the same response to express like or dislike, e.g. always withdraws hands from cold water or passively accepts tactile exploration. ",a
,English,,Speaking and Listening (Listening),,"Pupil demonstrates resistance during an activity or experience, e.g. pupil withdraws or grimaces. ",b
,English,,Speaking and Listening (Listening),,"Pupil accepts adult physical prompting during an activity, e.g. in a sensory story pupil allows adult to physically prompt them to explore resources, press a switch.",c
,English,,Speaking and Listening (Listening),,Pupil shows intolerance or tolerance to stimulation of one of the senses.,d
,English,,Speaking and Listening (Listening),,"Pupil shows a reflex response, e.g. alters eye movement in response to the introduction of a light source, is startled by a sudden sound or touch. ",e
,English,,Speaking and Listening (Listening),,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, attending briefly to interactions with a familiar person. They may give intermittent reactions, for example, sometimes becoming excited in the midst of social activity.",P1 (ii)
,English,,Speaking and Listening (Listening),,"Pupil gives a more controlled reaction to a familiar activity, e.g. smiling in response to a specific sound or tactile experience. ",a
,English,,Speaking and Listening (Listening),,"Pupil responds to a familiar activity by occasional vocalisation/smiling/ altering body movements, e.g. they smile at a sound making object or a flashing light. ",b
,English,,Speaking and Listening (Listening),,"Pupil briefly attends to a familiar adult performing an interesting activity, e.g. stills, turns, eyes widen when adult performs an interesting action. ",c
,English,,Speaking and Listening (Listening),,"Pupil may briefly focus attention towards familiar people, events or objects within the immediate environment. ",d
,English,,Speaking and Listening (Listening),,Pupil demonstrates awareness by stilling or any observable facial expression or body movement. ,e
,English,,Speaking and Listening (Listening),,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, withholding their attention. They begin to show interest in people, events and objects, for example, smiling at familiar people. They accept and engage in coactive exploration, for example, focusing their attention on sensory aspects of stories or rhymes when prompted.",P2 (i)
,English,,Speaking and Listening (Listening),,"Pupil engages interactively exploring objects with an adult when partially prompted, e.g. reaching for an object or material exploring visually and/or physically. ",a
,English,,Speaking and Listening (Listening),,"Pupil accepts sensory experience, sharing exploration of an object with an adult, e.g. child will focus attention upon an object in a sensory story by looking or touching. ",b
,English,,Speaking and Listening (Listening),,"Pupil shows awareness of a new activity or experience, e.g. may turn away or become animated, vocally or physically. ",c
,English,,Speaking and Listening (Listening),,"Pupil begins to interact consistently with objects, e.g. explores with fingers or hands. ",d
,English,,Speaking and Listening (Listening),,"Pupil begins to respond to familiar people, e.g. smiling or vocalising. ",e
,English,,Speaking and Listening (Listening),,"Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, reaching out to a favourite person. They recognise familiar people, events and objects, for example, vocalising or gesturing in a particular way in response to a favourite visitor. They perform actions, often by trial and improvement and they remember learned responses over short periods of time, for example, showing pleasure each time a particular puppet character appears in a poem dramatised with sensory cues. They co-operate with shared exploration and supported participation, for example, taking turns in interactions with a familiar person, imitating actions and facial expressions. ",P2 (ii)
,English,,Speaking and Listening (Listening),,"Pupil continues action once initiated, e.g. continues to shake or bang an object. ",a
