id,subname,subid,subsubname,subsubid,desc,position
,English,,Reading,,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted. ",P1 (i) 
,English,,Reading,,Pupil will accept an object placed in their hand. Pupil may actively move their arms or legs but their movements may be un-coordinated. ,a
,English,,Reading,,"Pupil reacts to light, e.g. student’s pupils dilate or constrict, shuts eyes when light shines in face, blinks at a light. ",b
,English,,Reading,,"Pupil may be calmed by sound of soothing voice. Pupil may still or startle on hearing repeated sound sequence, e.g. bell rung for few seconds. ",c
,English,,Reading,,Pupil is comforted in response to physical contact or familiar voice. ,d
,English,,Reading,,"Pupil shows a reflex response, e.g. alters eye/body movement in response to the introduction of auditory/tactile/ visual/kinaesthetic/ olfactory/gustatory stimuli. Any participation is fully prompted. ",e
,English,,Reading,," Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, attending briefly to interactions with a familiar person. They may give intermittent reactions, for example, sometimes becoming excited in the midst of social activity. ",P1 (ii)
,English,,Reading,,"Pupil investigates own hands. Pupil's movements may be more coordinated, e.g. arms may wave together. Pupils may grasp object briefly when placed in their hand. ",a
,English,,Reading,,"Pupil moves eyes or turns towards light, nearby adult or object. Pupil is visually more aware of moving object/s within close proximity. Pupil fixates for longer periods at bright light or brightly coloured object. ",b
,English,,Reading,,"Pupil moves eyes or turns towards sound sources or may establish fleeting eye contact. Pupil shows emerging awareness of sound of familiar voices and familiar sound events within regular routines, e.g. music before specific activity, the sound of the taxi, etc. ",c
,English,,Reading,,Pupil may turn head briefly or vocalise in response to person speaking. Pupil begins to react to familiar situations by smiling or vocalising. ,d
,English,,Reading,,"Pupil begins to show signs of an emerging awareness of familiar stimuli/text, through intermittent reactions to visual, auditory, kinaesthetic, tactile, smell or taste. ",e
,English,,Reading,," Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, withholding their attention. They begin to show interest in people, events and objects, for example, smiling at familiar people. They accept and engage in coactive exploration, for example, focusing their attention on sensory aspects of stories or rhymes when prompted.",P2 (i) 
,English,,Reading,,"Pupil may grasp an object using a palmer grip then lets go non-intentionally, e.g. grasps hanging objects within close proximity using random movements. Pupil will reach for and explore a sensory text object when encouraged. ",a
,English,,Reading,,Pupil is visually alert and fixates on a familiar person or object in a sensory story when encouraged to do so. Pupil follows familiar adult movement and may move head intentionally to see visual stimuli. Pupil looks at objects of reference linked to routines of the day. ,b
,English,,Reading,,"Pupil moves head and eyes more consistently when attention is attracted by sounds. Pupil begins to respond consistently to familiar rhymes or chants, e.g. he/she may become more animated. ",c
,English,,Reading,,"Pupil’s vocalisations are becoming more consistent, e.g. vocalises when spoken to, makes different sounds to indicate varying moods or demonstrates awareness of some emotional tones/voices. ",d
,English,,Reading,,"Pupil begins to respond consistently to familiar sensory stimuli associated with text, e.g. when listening to a familiar story or rhyme or poem pupil fixates on adult's face, smiles, vocalises or attends to adult's movements. ",e
,English,,Reading,," Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, reaching out to a favourite person. They recognise familiar people, events and objects, for example, vocalising or gesturing in a particular way in response to a favourite visitor. They perform actions, often by trial and improvement. They remember learned responses over short periods of time, for example, showing pleasure each time a particular puppet character appears in a poem dramatised with sensory cues. They co-operate with shared exploration and supported participation, for example, taking turns in interactions with a familiar person, imitating actions and facial expressions.",P2 (ii) 
,English,,Reading,,Pupil may transfer objects from one hand to another using any method. Pupil may knock over an object with intent. Pupil may use a raking or spreading action with paint or sensory text materials. Pupil releases object by intentionally opening hand to drop it. ,a
,English,,Reading,,"Pupil recognises familiar people, objects or events. Pupil visually tracks moving object until object moves out of visual field. Pupil engages in sustained visual attention to people, events and objects for short periods of time. ",b
,English,,Reading,,"Pupil experiments with voice sounds, e.g. pitch, volume, vowel sounds, nasal sounds, etc. Pupil begins to imitate actions and sounds, e.g. tapping or repeating known vocalisation. Pupil is attentive to familiar environmental sounds and voice sounds. ",c
,English,,Reading,,Pupil uses more purposeful vocalisations and non-verbal language including gesture and body language. Pupil begins to vocalise deliberately as a means of interpersonal communication. ,d
,English,,Reading,,"Pupil recognises and engages with familiar and unfamiliar sensory stimuli, e.g. turns head to known person telling a story or rhyme or moves head and eyes when attention is attracted. Pupil shows increasing awareness of emotional tones in familiar voice or use of a character in a story. ",e
,English,,Reading,,"Pupils begin to communicate intentionally. They seek attention through eye contact, gesture or action. They request events or activities, for example, pointing to key objects or people. They participate in shared activities with less support. They sustain concentration for short periods. They explore materials in increasingly complex ways, for example, reaching out and feeling for objects as tactile cues to events. They observe the results of their own actions with interest, for example, listening to their own vocalisations. They remember learned responses over more extended periods, for example, following the sequence of a familiar daily routine and responding appropriately",P3 (i) 
,English,,Reading,,"Pupil uses primitive pincer grasp (thumb and fingers but not finger tips). Pupil intentionally transfers object from one hand to the other. Pupil uses hand and finger movements to explore objects and surfaces. Pupil drops or throws objects intentionally and watches them fall to the ground. Pupil holds an object and uses it to explore surfaces using different movements, e.g. rubbing, tapping, banging, to and fro movements, etc. ",a
,English,,Reading,,"Pupil fixates on place where moving object disappears, e.g. rolling ball off a table. Pupil shows visual interest in movements of people and objects in a busy environment for longer periods. Pupil seeks attention through eye contact. ",b
