id,subname,subid,subsubname,subsubid,desc,position
,English,,Speaking and Listening (Speaking),," Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i)
,English,,Speaking and Listening (Speaking),,"Pupil consistently expresses either a like or dislike of the same stimulus, e.g. eyes always flicker when smelling strawberry. ",a
,English,,Speaking and Listening (Speaking),,"Pupil demonstrates resistance to an unwanted activity or experience, e.g. pupil physically pushes away an unwanted object. ",b
,English,,Speaking and Listening (Speaking),,"Pupil co-operates with an adult activity with a full physical prompt, e.g. during a sensory story pupil allows adult to physically prompt them when handling an object of reference. ",c
,English,,Speaking and Listening (Speaking),,"Pupil shows intolerance or tolerance to a range of sensory stimuli, e.g. stills when hand is stroked. Pupil shows facial expression (eye flick/mouth movement) to stimulation of one of the senses. ",d
,English,,Speaking and Listening (Speaking),,"Pupil shows a reflex response, e.g. blinks at a light, is startled by a sudden noise. ",e
,English,,Speaking and Listening (Speaking),,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, attending briefly to interactions with a familiar person. They may give intermittent reactions, for example, sometimes becoming excited in the midst of social activity",P1 (ii)
,English,,Speaking and Listening (Speaking),,"Pupil consistently expresses either a like or dislike of the same stimulus, e.g. eyes always flicker when smelling strawberry. ",a
,English,,Speaking and Listening (Speaking),,"Pupil reacts spontaneously to a familiar activity by intermittently vocalising, waving their hands or through facial expression, e.g. they smile at a sound making object, or when bubbles are blown. ",b
,English,,Speaking and Listening (Speaking),,"Pupil briefly observes a familiar adult performing an interesting activity, e.g. is attentive when an adult splashes water. ",c
,English,,Speaking and Listening (Speaking),,"Pupil may briefly look towards familiar people, events or objects in their immediate line of vision. ",d
,English,,Speaking and Listening (Speaking),,Pupil demonstrates awareness by stilling or turning towards a sound or light. ,e
,English,,Speaking and Listening (Speaking),,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, withholding their attention. They begin to show interest in people, events and objects, for example, smiling at familiar people. They accept and engage in coactive exploration, for example, focusing their attention on sensory aspects of stories or rhymes when prompted.",P2 (i)
,English,,Speaking and Listening (Speaking),,"Pupil engages interactively exploring objects with an adult, e.g. when prompted they reach for and handle an object exploring visually and/or physically before releasing. ",a
,English,,Speaking and Listening (Speaking),,"Pupil accepts sensory experience, sharing exploration of an object with an adult, e.g. child will focus attention upon an object in a sensory story by looking or touching. ",b
,English,,Speaking and Listening (Speaking),,"Pupil shows awareness of a new activity or experience. They may turn away or become animated, vocally or physically. ",c
,English,,Speaking and Listening (Speaking),,Pupil interacts with objects by reaching for and holding them. ,d
,English,,Speaking and Listening (Speaking),,Pupil responds to familiar people demonstrating this through consistent responses. They follow a familiar object by eye tracking. ,e
,English,,Speaking and Listening (Speaking),,"Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, reaching out to a favourite person. They recognise familiar people, events and objects, for example, vocalising or gesturing in a particular way in response to a favourite visitor. They perform actions, often by trial and improvement and they remember learned responses over short periods of time, for example, showing pleasure each time a particular puppet character appears in a poem dramatised with sensory cues. They co-operate with shared exploration and supported participation, for example, taking turns in interactions with a familiar person, imitating actions and facial expressions. ",P2 (ii)
,English,,Speaking and Listening (Speaking),,Pupil begins to imitate actions such as clapping hands or banging on a table. They may smile in response to an adult smiling. ,a
,English,,Speaking and Listening (Speaking),,"Pupil co-operates when sharing objects during give and take activities with a physical or verbal prompt, e.g. they are able to push a ball to another person when prompted to do so. They attend as the ball is returned to them. ",b
,English,,Speaking and Listening (Speaking),,"Pupil performs some actions by trial and improvement. Pupil may repeat an activity many times gradually improving on the outcome, e.g. keeps tapping a computer switch to gain the desired response. ",c
,English,,Speaking and Listening (Speaking),,"Pupil communicates simple choices, likes and dislikes through vocalisation and gesture, e.g. when given a choice of two toys consistently selects their favourite one. ",d
,English,,Speaking and Listening (Speaking),,"Pupil investigates a reaction from an object or an adult, e.g. they activate a batting toy by touch or they direct vocalisation towards an adult in order to gain a response. ",e
