id,subname,subid,subsubname,subsubid,desc,position
,English,,Writing,,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted. ",P1 (i) 
,English,,Writing,,Pupil will accept an object placed in their hand. Pupil may actively move their arms or legs but their movements may be uncoordinated. ,a
,English,,Writing,,"Pupil reacts to light, e.g. student’s pupils dilate or constrict, shuts eyes when light shines in face, blinks at a light. ",b
,English,,Writing,,"Pupil may be calmed by sound of soothing voice. Pupil may still or startle on hearing repeated sound sequence, e.g. bell rung for few seconds. ",c
,English,,Writing,,Pupil is comforted in response to physical contact or familiar voice. ,d
,English,,Writing,,"Pupil shows a reflex response, e.g. alters eye/body movement in response to the introduction of auditory/tactile/ visual/kinaesthetic/ olfactory/gustatory stimuli. Any participation is fully prompted. ",e
,English,,Writing,,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to focus their attention on certain people, events, objects or parts of objects, for example, attending briefly to interactions with a familiar person. They may give intermittent reactions, for example, sometimes becoming excited in the midst of social activity. ",P1 (ii)
,English,,Writing,,"Pupil investigates own hands. Pupil's movements may be more coordinated, e.g. arms may wave together. Pupils may grasp object briefly when placed in their hand. ",a
,English,,Writing,,"Pupil moves eyes, turns towards light or nearby adult or object. Pupil is visually more aware of moving object/s within close proximity. Pupil fixates for longer periods at bright light or brightly coloured object. ",b
,English,,Writing,,"Pupil moves eyes, turns towards sound sources or may establish fleeting eye contact. Pupil shows emerging awareness of sound of familiar voices and familiar sound events within regular routines, e.g. music before specific activity, the sound of the taxi, etc. ",c
,English,,Writing,,Pupil may turn head briefly or vocalise in response to person speaking. Pupil begins to react to familiar situations by smiling or vocalising. ,d
,English,,Writing,,"Pupil begins to show signs of an emerging awareness of familiar stimuli/text, through intermittent reactions to visual, auditory, kinaesthetic, tactile, smell or taste. ",e
,English,,Writing,,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, withholding their attention. They begin to show interest in people, events and objects, for example, smiling at familiar people. They accept and engage in coactive exploration, for example, focusing their attention on sensory aspects of stories or rhymes when prompted. ",P2 (i) 
,English,,Writing,,"Pupil may grasp an object using a palmer grip then lets go non-intentionally, e.g. grasps hanging objects within close proximity using random movements. Pupil will reach for and explore a sensory text object when encouraged. ",a
,English,,Writing,,Pupil is visually alert and fixates on a familiar person or object in a sensory story when encouraged to do so. Pupil follows familiar adult movement and may move head intentionally to see visual stimuli. Pupil looks at objects of reference linked to routines of the day. ,b
,English,,Writing,,"Pupil moves head and eyes more consistently when attention is attracted by sounds. Pupil begins to respond consistently to familiar rhymes or chants, e.g. he/she may become more animated. ",c
,English,,Writing,,"Pupil’s vocalisations are becoming more consistent, e.g. vocalises when spoken to, makes different sounds to indicate varying moods or demonstrates awareness of some emotional tones/voices. ",d
,English,,Writing,,"Pupil begins to respond consistently to familiar sensory stimuli associated with text, e.g. when listening to a familiar story, rhyme or poem pupil fixates on adult's face, smiles, vocalises or attends to adult's movements. ",e
