id,subname,subid,subsubname,subsubid,desc,position
,Science,,Physical Processes,,"Pupils encounter activities and experiences. They may be passive or resistant. They may show simple reflex responses, for example, startling at sudden noises or movements. Any participation is fully prompted.",P1 (i)
,Science,,Physical Processes,,Pupil is resistant to a sensory stimuli they find unpleasant. e.g. turns away from a bright light.,a
,Science,,Physical Processes,,Pupil shows intolerance to a range of sensory stimuli. e.g. cries at a loud noise such as cymbals crashing together.,b
,Science,,Physical Processes,,"Pupil shows simple reflex response to familiar events. 
e.g. closes eyes at bright light. ",c
,Science,,Physical Processes,,"Pupil shows simple reflex responses to a sudden unfamiliar event. 
e.g. is startled by a bang on a drum or sudden darkness.",d
,Science,,Physical Processes,,Pupil is passive to activities and experiences; sensory stimuli produce no consistent response.,e
,Science,,Physical Processes,,"Pupils show emerging awareness of activities and experiences. They may have periods when they appear alert and ready to join in and focus their attention on certain people, events, objects or parts of objects, for example, looking towards flashes of light or turning towards loud sounds. They may give intermittent reactions, for example, sometimes withdrawing their hands from changes in temperature.",P1 (ii)
,Science,,Physical Processes,,"Pupil interacts with people, turning to voice. Looks/smiles at familiar adult.",a
,Science,,Physical Processes,,"Pupil can make sounds/gestures to communicate basic needs. 
e.g. rocks to indicate they want to move. ",b
,Science,,Physical Processes,,"Pupil “stills” in response to a sound, voice environment. 
e.g. stills at a sudden bark from a dog. ",c
,Science,,Physical Processes,,"Pupil “stills” in response to a sound, voice environment. 
e.g. stills at a sudden bark from a dog. ",d
,Science,,Physical Processes,,Pupil shows an increase in tolerance to a repeated sensory stimulus. e.g. touches a ball so it moves.,e
,Science,,Physical Processes,,"Pupils begin to respond consistently to familiar people, events and objects. They react to new activities and experiences, for example, discarding objects with unfamiliar textures. They begin to show interest in people, events and objects, for example, leaning forward to follow the scent of a crushed herb. They accept and engage in coactive exploration with the help of another, for example, feeling materials in hand-over-hand partnerships with a member of staff.",P2 (i)
,Science,,Physical Processes,,Pupil interacts with people and objects. e.g. holds a torch or looks from one light to another in easy view.,a
,Science,,Physical Processes,,Pupil interacts with people and objects. e.g. reaches towards a bouncing ball.,b
,Science,,Physical Processes,,"Pupil interacts with people, animals and environment.
e.g. attends to a light being switched on and off. Follows movement of a toy. ",c
,Science,,Physical Processes,,"Pupil interacts with people, objects and events. 
e.g. focuses on a clockwork toy. ",d
,Science,,Physical Processes,,"Pupil interacts with people and objects, turning to voice, smiling.
e.g. smiles at a tape of a familiar song. ",e
,Science,,Physical Processes,,"Pupils begin to be proactive in their interactions. They communicate consistent preferences and affective responses, for example, showing a consistent dislike for certain flavours or textures. They recognise familiar people, events and objects, for example, moving towards particular features of familiar environments. They perform actions, often by trial and error, and they remember learned responses over short periods of time, for example, rejecting food items after recent experience of bitter flavours. They cooperate with shared exploration and supported participation, for example, examining materials handed to them.",P2 (ii)
,Science,,Physical Processes,,Pupil gives consistent response to pleasant and unpleasant stimuli. e.g. reaches towards toy car over rock.,a
,Science,,Physical Processes,,Pupil can discriminate between a pleasant and an unpleasant stimulus. e.g. covers ears at sounds after recent experience of loud sounds.,b
,Science,,Physical Processes,,Pupil can use vocals with intent. e.g. smiles and makes noise in response to talk. Bangs/hits a drum with intention of producing a sound.,c
,Science,,Physical Processes,,"Pupil can communicate simple needs, wants or feelings with intent, uses facial expressions, gestures signs. e.g. laughs when being moved fast.",d
,Science,,Physical Processes,,"Pupil can perform some actions using trial and error.
e.g. pats a sponge ball.",e
,Science,,Physical Processes,,"Pupils begin to communicate intentionally. They seek attention through eye contact, gesture or action. They request events or activities, for example, reaching out towards a sound making object. They participate in shared activities with less support. They sustain concentration for short periods. They explore materials in increasingly complex ways, for example, pressing hard objects into soft textures. They observe the results of their own actions with interest, for example, scrunching up paper and examining the product. They remember learned responses over more extended periods, for example, reaching out to touch a live animal with caution and sensitivity.",P3(i)
,Science,,Physical Processes,,"Pupil remembers learned responses over more extended periods. 
e.g. remembers and begins to anticipate music from a tape player when the on switch is pushed down.",a
,Science,,Physical Processes,,"Pupil observes own actions, objects and events with interest. 
e.g. watches car/ball they are pushing. ",b
,Science,,Physical Processes,,"Pupil requests activities or objects. 
e.g. reaches towards a toy car. Carer recognises that child is requesting. ",c
,Science,,Physical Processes,,"Pupil interacts with familiar people, objects and events. 
e.g. watches a ball rolling around. ",d
,Science,,Physical Processes,,"Pupils can respond to familiar people, routines, objects activities and actions. e.g. looks at one sound source then another such as two different instruments. ",e
,Science,,Physical Processes,,"Pupils use emerging conventional communication. They greet known people and may initiate interactions and activities, for example, switching on a favourite piece of equipment in the light and sound room. They can remember learned responses over increasing periods of time and may anticipate known events, for example, bubbles bursting on an obstacle. They may respond to options and choices with actions or gestures, for example, touching one substance rather than another. They actively explore objects and events for more extended periods, for example, feeling the textures of different parts of a plant. They apply potential solutions systematically to problems, for example, tipping a container in order to pour out its contents.",P3 (ii)
,Science,,Physical Processes,,"Pupil can communicate with purposeful intent .
Pupil can reject when given a choice of one / two objects.Anticipates events. 
e.g. shouts out when offered a triangle instead of a drum.",a
,Science,,Physical Processes,,"Pupil can communicate simple choices, likes/dislikes.
e.g. vocalisation to communicate like of different coloured or moving lights. ",b
,Science,,Physical Processes,,Pupil can explore objects and begins to repeat and control actions. e.g. drops balls to bounce on the floor. ,c
,Science,,Physical Processes,,"Pupil can explore and interact with objects spontaneously.
e.g. switching on a favourite piece of equipment in the light and sound room. ",d
,Science,,Physical Processes,,"Pupil can show anticipation in response to familiar people, routines, activities and actions. e.g. smiles when a mirror is given to them to look into.",e
,Science,,Physical Processes,,"Pupils explore objects and materials provided, changing some materials by physical means and observing the outcomes, for example, when mixing flour and water, They know that certain actions produce predictable results, for example, that sponges can be squeezed. Pupils communicate their awareness of changes in light, sound or movement. They imitate actions involving main body parts, for example, clapping or stamping. They make sounds using their own bodies, for example, tapping, singing or vocalising, and imitate or copy sounds. They cause movement by a pushing or pulling action.Pupils show interest in a wide range of living things, handling and observing them, for example, on a visit to a farm, or on a walk in the woods collecting items.",P4
,Science,,Physical Processes,,"Pupil demands a familiar desired object. e.g. by loud, urgent vocalisation. e.g. calls out for ball.",a
,Science,,Physical Processes,,"Pupil shows understanding of objects, materials and events. 
e.g. pushes a switch to get the torch to light. ",b
,Science,,Physical Processes,,Pupil can copy simple actions. e.g. clapping or banging.,c
,Science,,Physical Processes,,"Pupil demands a desired object or event by reaching or pointing. 
e.g. points to the television or CD player. ",d
,Science,,Physical Processes,,"Pupil anticipates by association to objects of reference.
e.g. picks up beater at the sight of a drum. ",e
,Science,,Physical Processes,,"Pupils anticipate and join in activities focused on enquiry into specific environments, for example, finding the hamster under the straw or the worms in a wormery. They group objects and materials in terms of simple features or properties, for example, temperature or colour. They can indicate the before and after of material changes. They engage in experimentation with a range of equipment in familiar and relevant situations, for example, initiating the activation of a range of light sources. They answer simple scientific questions, for example, 'Where is the flower?' 'Is it hot/cold?'.",P5
,Science,,Physical Processes,,"Pupil repeats actions when prompted. e.g. tries something a second time when prompted to try again.
e.g. tries to get a sound from a whistle after unsuccessful trial.",a
