description,additional_text
Notices stimuli,"<p>Look for any changes in behaviour which are not reflex responses, for example:</p>
<ul>
<li>stilling (a momentary pause)</li>
<li>turning (head, eyes, or body)</li>
<li>lip/tongue movement</li>
<li>an eye flicker</li>
<li>a change in breathing</li>
<li>tensing or relaxing (you may need to be in close physical contact in order to perceive this).</li>
</ul>"
Reacts to close contact with familiar adult,"<p>Look for any changes in behaviour which are not reflex responses, for example:</p>
<ul>
<li>stilling (a momentary pause)</li>
<li>turning (head, eyes, or body)</li>
<li>lip/tongue movement</li>
<li>an eye flicker</li>
<li>a change in breathing</li>
<li>tensing or relaxing (you may need to be in close physical contact in order to perceive this).</li>
</ul>"
Responds to very obvious stimulus,"<p>Look for:</p>
<ul>
<li>a change in activity level</li>
<li>vocalising</li>
<li>open mouth/tongue movement</li>
<li>moving fingers, e.g. in sheepskin&nbsp;</li>
<li>a kick.</li>
</ul>"
Demonstrates brief memory for previously presented stimulus,"<p>Look for:</p>
<ul>
<li>a decline of interest when the stimulus is repeated</li>
<li>recovery of interest when a new stimulus is offered.</li>
</ul>"
Responds to familiar voice or other personal identifier,"<p>Look for:</p>
<ul>
<li>stilling/tensing or relaxing</li>
<li>smiling or a change in facial expression</li>
<li>turning of the head</li>
<li>fleeting eye contact</li>
<li>reaching out/touching.</li>
</ul>"
Responds to range of stimuli,"<p>Look for:</p>
<ul>
<li>a change in activity level or facial expression</li>
<li>movement of eyes, lips, tongue</li>
<li>vocalisation</li>
<li>tensing/relaxing</li>
<li>movement of arms/legs/fingers.</li>
</ul>"
Supported 1:1 turn-taking with adult,<p>Look for signs of the learner co-operating or anticipating.</p>
Responds to own name,"<p>Look for responses as in step 6.</p>
<p>Note: Take care that the learner is not responding to other cues such as tone of voice, the staff’s own reaction, a touch, etc. This step requires a response which is different to step 5 above.</p>"
Responds consistently to one stimulus,<p>Look for the learner responding in the same way each time a stimulus is presented.</p>
Briefly follows moving stimulus,"<p>Look for the learner following a stimulus with his/her eyes.</p>"
Shows behaviour which can be interpereted as rejection to some stimuli,"<p>Look for the learner signalling a desire to stop the activity or interaction; for example, by turning away, pulling a face or pushing.</p>"
Responds differently to different stimuli,"<p>During pauses between stimuli, observe whether the learner appears to be waiting; for example, by tensing up, holding his/her breath, beginning to smile or laugh (for a liked stimulus) – the learner may be anticipating the next repeat.</p>"
Terminates interaction with an adult,"<p>Note how the learner ‘signals’ the end of an interaction, for example, by turning away or averting the eyes.</p>"
Anticipates repetitively presented stimulus,"<p>After repeated alternate presentations, look for the learner turning his/her eyes and/or head to the next position before the stimulus appears there.</p>
<p>When sound, vibration or light, etc., is presented in a pulse pattern, look for the learner anticipating the next presentation; for example, the body may stiffen or the eyes widen before the next presentation of a sound.</p>"
Objects to termination of interaction,"<p>Look for strategies used by the learner to signal that he/she wants the ‘exchange’ to continue; for example, by eye movement, body movement or vocalisation.</p>"
Aided exploration of the environment,"<p>Look for the learner:</p>
<ul>
<li>moving his/her fingers or hand</li>
<li>smelling or trying to lick/mouth objects</li>
<li>actively exploring objects in turn.</li>
</ul>"
Anticipates within social routines,"<p>Look for signs of anticipation (see 14), as well as smiling or laughing.</p>"
Redirects attention to second object,<p>Look for the learner losing interest in the first object and focusing attention on a new item.</p>
